"Playlist URL","https://www.youtube.com/playlist?list=PLiiEr5EE-Ygx2w-0wEOu926WJaXvwOdiR"
"Playlist title","Horror"
"Playlist author","Super Eyepatch Wolf"
"Videos","10"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"gp-2M_3HwFU","Horror in Impossible Places: Liminal Spaces and The Backrooms","Super Eyepatch Wolf","2022-11-01","2022-11-01","https://i.ytimg.com/vi/gp-2M_3HwFU/hqdefault.jpg","Liminal Spaces and The Backrooms are kind of spooky.

Patreon: https://www.patreon.com/Supereyepatchwolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Other Super Eyepatch Wolf stuff

Twitch: https://www.twitch.tv/supereyepatchwolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Lets Fight a Boss Video Game Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Jeff Jeffs Bizarre Adventure Anime Podcast:

Itunes :https://podcasts.apple.com/us/podcast/jeffjeffs-bizarre-adventure/id1610221160
(but also anywhere you can get podcasts)

Sources:

https://aesthetics.fandom.com/wiki/Liminal_Space
(i know generally .fandoms arnt the most reliable resource, but it has a pretty good break down of what liminality “is”)

Everything Must Go: Visiting the Last Blockbuster Video Stores:
http://airshipdaily.com/blog/01092014-last-blockbuster-video-stores

Andrews, Hazel; Roberts, Les (2015). ""Liminality"". International Encyclopedia of the Social & Behavioral Sciences. pp. 131–137. doi:10.1016/B978-0-08-097086-8.12102-6. ISBN 978-0-08-097087-5.

Taheri, Babak; Gori, Keith; O’Gorman, Kevin; Hogg, Gillian; Farrington, Thomas (2 January 2016). ""Experiential liminoid consumption: the case of nightclubbing""

https://www.verywellmind.com/the-impact-of-liminal-space-on-your-mental-health-5204371

https://www.betterhelp.com/advice/general/understanding-how-liminal-space-is-different-from-other-places/

https://www.forbes.com/health/mind/what-is-liminal-space/

https://www.sciencedirect.com/science/article/pii/S0272494422000895?via%3Dihub

https://sabukaru.online/articles/liminal-spaces-the-era-of-realizing-false-promises

https://www.zacharyfruhling.com/philosophy-blog/liminal-spaces-and-liminal-jobs-the-spaces-between-spaces-and-the-jobs-between-jobs

https://museemagazine.com/features/2020/11/1/the-cult-following-of-liminal-space

https://journals.sagepub.com/doi/pdf/10.1177/0018726714536938

https://www.boredpanda.com/liminal-spaces/?utm_source=google&utm_medium=organic&utm_campaign=organic


https://www.newyorker.com/culture/rabbit-holes/the-pleasant-head-trip-of-liminal-spaces

https://blogs.baruch.cuny.edu/outsiders/files/2015/01/Victor-Turner-Betwixt-and-Between.pdf"
"m_oeMV2E50A","Why You Should Watch Disturbing Horror Movies","Super Eyepatch Wolf","2020-11-14","2020-11-14","https://i.ytimg.com/vi/m_oeMV2E50A/hqdefault.jpg","Uh oh. We’re talkin Horror. Gettin Spooky.

Patreon: https://www.patreon.com/Supereyepatchwolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff:

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Content Warnings:
https://imgur.com/a/Y0QBgQ2

Song List:
https://open.spotify.com/playlist/7BXEcJ68jUKpgL7X7j13Wm?si=An4iYb9HQ2a-eoLh_NCIjg"
"hVYzc2Xpup0","The Manga That Breaks People","Super Eyepatch Wolf","2020-05-31","2020-05-31","https://i.ytimg.com/vi/hVYzc2Xpup0/hqdefault.jpg","Here’s a video on the heart warming story of a mother and son and their inspirational journey to over come adversity.

Patreon: https://www.patreon.com/Supereyepatchwolf
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes:
https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Sources:
https://www.eiagroup.com/facial-expressions-explored/

https://www.smithsonianmag.com/science-nature/the-enchanting-sea-monsters-on-medieval-maps-1805646/

Why Horror Sedueces- by Mathias Clasen (Book)


Song List:

https://imgur.com/a/2pkjg8n"
"lIIA6QDgl2M","How Media Scares Us: The Work of Junji Ito","Super Eyepatch Wolf","2019-02-21","2016-10-01","https://i.ytimg.com/vi/lIIA6QDgl2M/hqdefault.jpg","My new video on Horror Manga: https://youtu.be/hVYzc2Xpup0

PATREON:
https://www.patreon.com/Supereyepatchwolf

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Lets Fight a Boss Video Game Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Sound Cloud: https://soundcloud.com/letsfightaboss

Rebeccas Tumblr: http://rebeccareynolds.tumblr.com/

What Would the Community Think Tumblr:
http://what-would-the-community-think.tumblr.com/

Song List:

The Forest Trail - Silent Hill 2 ost
Alone in Town - Silent Hill 2 ost
Heavens Night- Silent Hill 2 ost
Promise (Reprise)- Silent Hill 2 ost
Chill and Rigor- 999 ost
Prisonic Fairt Tail- Silent Hill 2 ost
Silent Hill Theme- Silent Hill ost"
"TmYcoozFYnU","Why The Shining is Terrifying","Super Eyepatch Wolf","2020-04-23","2017-10-14","https://i.ytimg.com/vi/TmYcoozFYnU/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Jcon:
http://jconireland.com/

Sources:
Making of The Shining (Dvd Extra Feature)
View from the Overlook- Crating the Shining (Bluray special feature)
The visions of Stanely Kubric (Bluray Specail Feature)
The Stanely Kubric Biography
The Stepehen King Compaion
Danse Macarbe- Stephen King
Shelly Duvalle interview: https://www.youtube.com/watch?v=hFPmTV_UqKA

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:

To Keep from Falling Off - Jonathan Snipes & William Hutson
Dakarius - Night of the Sociopath
Idealism - Lonely
beats for you and me ♥ - tender"
"MJmK5SOeQBc","Why Perfect Blue is Terrifying","Super Eyepatch Wolf","2019-02-21","2017-05-13","https://i.ytimg.com/vi/MJmK5SOeQBc/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:
Imaginary- 999 OST
The Girl in The Drawing- Durarara OST
Nightmare- Perfect Blue OST
Possibly Maybe- Bjork
Virtua Mima (Voice Version)- Perfect Blue OST
Angel of Love- Perfect Blue OST"
"oTqPkzP6Uns","Devotion: The Most Disturbing Game You Cannot Play","Super Eyepatch Wolf","2019-04-13","2019-04-13","https://i.ytimg.com/vi/oTqPkzP6Uns/hqdefault.jpg","UPDATE! You can play it! https://shop.redcandlegames.com/games/devotion

Devotion is a very spooky game in a very complicated situation.

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:
Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf
Twitch: https://www.twitch.tv/supereyepatchwolf


Sources:

https://newbloommag.net/2017/09/29/rulaizong-rolls-royce/

https://international.thenewslens.com/article/75046

https://www.taiwannews.com.tw/en/news/3329121

https://forums.spacebattles.com/threads/funny-taiwan-news-gym-owner-challenges-buddhist-cult-leader-to-a-fight.569896/

https://popula.com/2019/01/22/island-of-scams/

https://www.rulai.org/testimony/8417

https://steamcommunity.com/games/1006510/announcements/detail/1769256475103741408

https://www.vox.com/2018/8/4/17651630/christopher-robin-banned-in-china-pooh

https://www.spieltimes.com/news/xi-jinping-winnie-the-pooh-moron-found-in-devotion-game-is-being-review-bombed-by-chinese-players/

https://www.youtube.com/watch?v=h3lZEpsK_rg

Song List:

https://imgur.com/a/n6ai8oM"
"DAYFi6bLSfs","The Junji Ito Collection is Disappointing Garbage","Super Eyepatch Wolf","2019-02-21","2018-03-17","https://i.ytimg.com/vi/DAYFi6bLSfs/hqdefault.jpg","The Junji Ito Collection is a disappointment, as an anime, as a piece of horror, and as an adaption. Lets talk about it

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/
How Media Scares us video:
https://www.youtube.com/watch?v=lIIA6QDgl2M

Footage from
Dye Fantasy
https://vimeo.com/30798517

The Cat with Hands
https://vimeo.com/54768427

Channel 4s ""inside""
https://vimeo.com/172933813


Sources:

Manga Manba: Junji Ito
http://www.dailymotion.com/video/x65w5fu

Song List:

Memory of Waters- Silent Hill 2 OST
Float up From Dream - Silent Hill 3 OST
End of Small Sanctuary - Silent Hill 3 OST
Lifefromed - Undiscovery
Pool - It Follows OST (Disasterpiece)
Original Personality - Killer 7 OST
Sonic Mayhem - Futureland (Featuring Power Glove)
The Junji Ito Collection ED -  Jyocho"
"uVagWJhvVbM","Why You Should Watch Paranoia Agent","Super Eyepatch Wolf","2019-02-21","2017-10-31","https://i.ytimg.com/vi/uVagWJhvVbM/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:
The last Mariachi- Silent Hill 4 OST
Penatgon Jr Theme- Lucha Underground OST
Silent Hill Shattered Memories- Different Persons
Anxious- Boketto
Who is Zero 9 Hours 9 persons 9 Doors OST
Welcome to Despiar Acadaemy- Super Dangan Ronpa 2 OST
Toubou- PAranoia Agent OST"
"ckYvsSjV99A","Why You Should Play Silent Hill 2","Super Eyepatch Wolf","2019-02-21","2016-10-30","https://i.ytimg.com/vi/ckYvsSjV99A/hqdefault.jpg","PATREON:
https://www.patreon.com/Supereyepatchwolf

TWITTER: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Lets Fight a Boss Podacast:

Itunes:
https://itunes.apple.com/ie/podcast/lets-fight-a- boss/id1048483221?mt=2

Soundcloud:
https://soundcloud.com/letsfightaboss/ep-035-halloween-spectacular

Youtube
https://www.youtube.com/watch?v=ID1eNi-St0c

Niamhs Tumblr:
http://falldogs.tumblr.com/

SHN Survival Horror Network:
https://www.youtube.com/channel/UC4jOVIDDfiSo_8Ywrdqb95w

Track List

Wishful Thinking- Silent Hill 2 OST
Heavens Night- Silent Hill 2 OST
Breeze in Monochrome Midnight- Silent Hill 3 OST
Float up from a Dream- Silent Hill 3 OST
Alone in Town- Silent Hill 2 OST
The Forest Trail- Silent Hill 2 OST
Prisonic Fairtail - Silent Hill 2 OST
A Stray Chile- Silent Hill 3 OST
Pianoissimo epilogue- Silent Hill 2 OST
Them of Laura- Silent Hill 2 OST

Silent Hill 2 Monster symbolism vid (MAJOR SPOILERS):
https://www.youtube.com/watch?v=bPLmz8I3aSw&t=45s"
